Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Description,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL
The Fan,nan,Eckhart Schmidt,"['Désirée Nosbusch', 'Bodo Staiger', 'Simone Brahmann', 'Jonas Vischer', 'Helga Tölle', 'Klaus Münster', 'Wilfried Blasberg', 'Sabine Kückelmann', 'Ian Moorse', 'Nikolai Hoffmann', 'Michael Fluehme', 'Oliver Betz', 'Christian Simon', 'Joachim Fuchsberger', 'Thomas Fuchsberger', 'Alexandra Beau', 'Susi Hermann']",3.57,nan,"['Horror', 'Drama']",92,['Germany'],German,['German'],The hero-worship that Simone has for a pop singer is built to a crescendo until she passes out when she finally sees him up-close in a crowd of fans. She is later shocked when he lets her know that he does not love her.,['Barbara Moorse Workshop'],12841,11032,3763,79,105,129,103,402,525,1660,1950,2646,808,714,9042,https://letterboxd.com/film/the-fan-1982/
Mad Max: Fury Road,nan,George Miller,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult', 'Hugh Keays-Byrne', 'Josh Helman', 'Nathan Jones', 'Zoë Kravitz', 'Rosie Huntington-Whiteley', 'Riley Keough', 'Abbey Lee', 'Courtney Eaton', 'John Howard', 'Richard Carter', 'Iota', 'Angus Sampson', 'Jennifer Hagan', 'Megan Gale', 'Melissa Jaffer', 'Melita Jurišić', 'Gillian Jones', 'Joy Smithers', 'Antoinette Kellerman', 'Christina Koch', 'Jon Iles', 'Quentin Kenihan', 'Coco Jack Gillies', 'Chris Patton', 'Stephen Dunlevy', 'Richard Norton', 'Vincent Roxburgh', 'John Walton', 'Ben Smith-Petersen', 'Russ McCarroll', 'Judd Wild', 'Elizabeth Cunico', 'Greg Van Borssum', 'Robert Jones', 'Sebastian Dickins', 'Darren Mitchell', 'Crusoe Kurddal', 'Shyan Tonga', 'Cass Cumerford', 'Albert Lee', 'Riley Paton', 'Ripley Voeten', 'Maycn Van Borssum', 'Hunter Stratton Boland', 'Nathan Jenkins', 'Fletcher Gill', 'Whiley Toll', 'Ferdinand Hengombe', 'Gadaffi Davsab', 'Noddy Alfred', 'Jackson Hengombe', 'Christian Fane', 'Callum Gallagher', 'Abel Hofflin', 'Lee Perry', 'Hiroshi Kasuga']",4.18,4.5,"['Adventure', 'Science Fiction', 'Action']",121,"['Australia', 'USA']",English,['English'],"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.","['Warner Bros. Pictures', 'Village Roadshow Pictures', 'Kennedy Miller Mitchell', 'RatPac Entertainment']",2488721,331681,927538,38000,4172,12530,6139,37471,30112,158356,163753,477901,280815,511140,1682389,https://letterboxd.com/film/mad-max-fury-road/
Suspiria,nan,Dario Argento,"['Jessica Harper', 'Stefania Casini', 'Flavio Bucci', 'Miguel Bosé', 'Barbara Magnolfi', 'Susanna Javicoli', 'Eva Axén', 'Rudolf Schündler', 'Udo Kier', 'Alida Valli', 'Joan Bennett', 'Margherita Horowitz', 'Jacopo Mariani', 'Fulvio Mingozzi', 'Franca Scagnetti', 'Renato Scarpa', 'Serafina Scorceletti', 'Giuseppe Transocchi', 'Renata Zamengo', 'Alessandra Capozzi', 'Salvatore Capozzi', 'Diana Ferrara', 'Cristina Latini', 'Alfredo Raino', 'Claudia Zaccari', 'Dario Argento', 'Giovanni di Bernardo', 'Daria Nicolodi', 'Marina Pierro', 'Lela Svasta']",3.93,4.0,['Horror'],99,['Italy'],English,"['English', 'French', 'German', 'Italian', 'Latin']",An American newcomer to a prestigious German ballet academy comes to realize that the school is a front for something sinister amid a series of grisly murders.,['Seda Spettacoli'],618171,220094,219548,13000,1096,2814,2710,11006,14397,53427,70309,138742,60628,88628,443757,https://letterboxd.com/film/suspiria/
Lost in Translation,nan,Sofia Coppola,"['Bill Murray', 'Scarlett Johansson', 'Akiko Takeshita', 'Kazuyoshi Minamimagoe', 'Kazuko Shibata', 'Take', 'Ryuichiro Baba', 'Akira Yamaguchi', 'Catherine Lambert', 'François du Bois', 'Tim Leffman', 'Gregory Pekar', 'Richard Allen', 'Giovanni Ribisi', 'Diamond Yukai', 'Jun Maki', 'Nao Asuka', 'Tetsuro Nakagawa', 'Kanako Nakazato', 'Fumihiro Hayashi', 'Hiroko Kawasaki', 'Daikon', 'Anna Faris', 'Asuka Shimuzu', 'Ikuko Takahashi', 'Koichi Tanaka', 'Hugo Codaro', 'Akiko Monou', 'Akimitsu Naruyama', 'Hiroshi Kawashima', 'Hiromix', 'Nobuhiko Kitamura', 'Nao Kitman', 'Akira', 'Kunichi Nomura', 'Yasuhiko Hattori', 'Shigekazu Aida', 'Kazuo Yamada', 'Akira Motomura', 'Osamu Shigematu', 'Takashi Fujii', 'Kei Takyo', 'Ryo Kondo', 'Yumi Ikeda', 'Yumika Saki', 'Yuji Okabe', 'Dietrich Bollmann', 'Georg O.P. Eschert', 'Mark Willms', 'Lisle Wilkerson', 'Nancy Steiner', 'Sam Arnold']",3.79,4.5,"['Drama', 'Comedy', 'Romance']",102,"['UK', 'USA']",English,"['English', 'Japanese']","Two lost souls visiting Tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a TV commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in America.","['American Zoetrope', 'Elemental Films']",1596190,254180,493248,38000,5804,15167,11281,45997,46716,155110,166638,314160,122359,193717,1076949,https://letterboxd.com/film/lost-in-translation/
Akira,nan,Katsuhiro Otomo,"['Mitsuo Iwata', 'Nozomu Sasaki', 'Mami Koyama', 'Tarō Ishida', 'Mizuho Suzuki', 'Tessyo Genda', 'Koichi Kitamura', 'Yuriko Fuchizaki', 'Masaaki Okura', 'Takeshi Kusao', 'Kazuhiro Kamifuji', 'Tatsuhiko Nakamura', 'Fukue Itô', 'Yuka Ôno', 'Hiroshi Ôtake', 'Kazumi Tanaka', 'Masato Hirano', 'Masayuki Katô', 'Michihiro Ikemizu', 'Tarô Arakawa', 'Masami Toyoshima', 'Anthony Pulcini', 'Travis Weaver', 'Cody Mackenzie']",4.28,5.0,"['Animation', 'Action', 'Science Fiction']",124,['Japan'],Japanese,['Japanese'],A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop.,"['MBS', 'Sumitomo Corporation', 'TOHO', 'Studio Fuga', 'Studio Aoi', 'Kodansha', 'Bandai Entertainment', 'Tokyo Movie Shinsha']",873068,175586,341567,21000,778,1822,1663,7286,9544,40850,61104,168485,112657,196532,600721,https://letterboxd.com/film/akira/
Things to Come,nan,Mia Hansen-Løve,"['Isabelle Huppert', 'André Marcon', 'Roman Kolinka', 'Édith Scob', 'Sarah Le Picard', 'Solal Forte', 'Élise Lhomeau', 'Lionel Dray', 'Yves Heck', 'Grégoire Montana-Haroche', 'Lina Benzerti', 'Guy-Patrick Sainderichin', 'Rachel Arditi', 'Charline Bourgeois-Tacquet', 'Linus Westheuser', 'Clemens Melzer', 'Olivier Goinard', 'Jean-Charles Clichet', 'Pauline Prévost', 'Elie Wajeman', 'Julianne Binard', 'Orféo Campanella', 'Larissa Guist']",3.77,nan,['Drama'],102,"['Germany', 'France']",French,"['French', 'German', 'English']","Nathalie teaches philosophy at a high school in Paris. She is passionate about her job and particularly enjoys passing on the pleasure of thinking. Married with two children, she divides her time between her family, former students and her very possessive mother. One day, Nathalie’s husband announces he is leaving her for another woman. With freedom thrust upon her, Nathalie must reinvent her life.","['ARTE France Cinéma', 'Detailfilm', 'CG Cinéma', 'Auvergne-Rhône-Alpes Cinéma']",34777,14370,8585,192,39,90,141,595,1067,4274,6148,7868,2484,1677,24383,https://letterboxd.com/film/things-to-come-2016/
Big Trouble in Little China,nan,John Carpenter,"['Kurt Russell', 'Kim Cattrall', 'Dennis Dun', 'James Hong', 'Victor Wong', 'Kate Burton', 'Donald Li', 'Carter Huang Chia-Ta', 'Peter Kwong', 'James Pax', 'Suzee Pai', 'Chao-Li Chi', 'Jeff Imada', 'Rummel Mor', 'Craig Ng', 'June Kyoto Lu', 'Noel Toy', 'Jade Go', 'Jerry Hardin', 'James Lew', 'Jim Lau', 'Kenny Endoso', 'Stuart Quan', 'Gary Toy', 'George Cheung', 'Jimmy Jue', 'Noble Craig', 'Danny Kwan', 'Min Luong', 'Paul J.Q. Lee', 'Al Leong', 'Gerald Okamura', 'William S. Wong', 'Eric Lee', 'Yukio G. Collins', 'Bill M. Ryusaki', 'Brian Imada', 'Nathan Jung', 'Dan Inosanto', 'Vernon Rieta', 'Daniel Wong', 'Daniel Lee', 'Lia Chang', 'Diana Tanaka', 'Donna L. Noguchi', 'Shinko Isobe', 'John Carpenter', 'Cary-Hiroyuki Tagawa', 'Conan Lee', 'Leo Lee', 'Bill Saito', 'Phil Jordan', 'Dawna Lee Heising']",3.72,3.5,"['Comedy', 'Adventure', 'Fantasy', 'Action']",100,['USA'],English,"['English', 'Cantonese']","Truck driver Jack Burton gets embroiled in a supernatural battle when his best friend Wang Chi's green-eyed fiancée is kidnapped by henchmen of the sorcerer Lo Pan, who must marry a girl with green eyes in order to return to the human realm.","['TAFT Entertainment Pictures', '20th Century Fox', 'SLM Production Group']",283873,65558,85788,3800,440,1250,1435,6083,8842,30582,38642,53871,17844,24938,183927,https://letterboxd.com/film/big-trouble-in-little-china/
Star Wars,nan,George Lucas,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Peter Cushing', 'Alec Guinness', 'Anthony Daniels', 'Kenny Baker', 'Peter Mayhew', 'David Prowse', 'James Earl Jones', 'Phil Brown', 'Shelagh Fraser', 'Jack Purvis', 'Alex McCrindle', 'Eddie Byrne', 'Drewe Henley', 'Denis Lawson', 'Garrick Hagon', 'Jack Klaff', 'William Hootkins', 'Angus MacInnes', 'Jeremy Sinden', 'Graham Ashley', 'Don Henderson', 'Richard LeParmentier', 'Leslie Schofield', 'Michael Leader', 'David Ankrum', 'Scott Beach', 'Lightning Bear', 'Jon Berg', 'Doug Beswick', 'Paul Blake', 'Janice Burchette', 'Ted Burnett', 'John Chapman', 'Gilda Cohen', 'Tim Condren', 'Barry Copping', 'Alfie Curtis', 'Robert Davies', 'Maria De Aragon', 'Robert A. Denham', 'Frazer Diamond', 'Peter Diamond', 'Warwick Diamond', 'Sadie Eden', 'Kim Falkinburg', 'Harry Fielder', 'Ted Gagliano', 'Salo Gardner', 'Steve Gawley', 'Barry Gnome', 'Rusty Goffe', 'Isaac Grand', 'Reg Harding', 'Alan Harris', 'Frank Henson', 'Arthur Howell', 'Tommy Ilsley', 'Joe Johnston', 'Annette Jones', 'Linda Jones', 'Joe Kaye', 'Colin Michael Kitchens', 'Melissa Kurtz', 'Tiffany Hillkurtz', 'Al Lampert', 'Anthony Lang', 'Laine Liska', 'Derek Lyons', 'Mahjoub', 'Alf Mangan', 'Grant McCune', 'Geoffrey Moon', 'Mandy Morton', 'Lorne Peterson', 'Marcus Powell', 'Shane Rimmer', 'Pam Rose', 'George Roubicek', 'Erica Simmons', 'Angela Staines', 'George Stock', 'Roy Straite', 'Peter Sturgeon', 'Peter Sumner', 'John Sylla', 'Tom Sylla', 'Malcolm Tierney', 'Phil Tippett', 'Burnell Tucker', 'Morgan Upton', 'Jerry Walter', 'Hal Wamsley', 'Diana Sadley Way', 'Bill Weston', 'Fred Wood', 'Colin Higgins', 'Ron Tarr', 'Anthony Forrest', 'Frances Alfred Basil Tomlin', 'John Cannon', 'Larry Ward']",4.17,5.0,"['Adventure', 'Action', 'Science Fiction']",121,['USA'],English,['English'],Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,"['Lucasfilm Ltd.', '20th Century Fox']",3014320,391415,1057816,30000,2332,6041,2936,21993,22650,161969,184400,570725,256761,550396,1780203,https://letterboxd.com/film/star-wars/
The Third Man,nan,Carol Reed,"['Joseph Cotten', 'Alida Valli', 'Trevor Howard', 'Orson Welles', 'Paul Hörbiger', 'Ernst Deutsch', 'Erich Ponto', 'Siegfried Breuer', 'Hedwig Bleibtreu', 'Bernard Lee', 'Wilfrid Hyde-White', 'Alexis Chesnakov', 'Thomas Gallagher', 'Herbert Halbik', 'Hannah Norbert', 'Eric Pohlmann', 'Carol Reed', 'Annie Rosar', 'Frederick Schrecker', 'Hugo Schuster', 'Karl Stepanek', 'Theodore Gottlieb', 'Jenny Werner', 'Reed De Rouen', 'Geoffrey Keen', 'Robert Brown']",4.25,nan,"['Mystery', 'Thriller']",105,['UK'],English,"['English', 'Russian', 'German']","In postwar Vienna, Austria, Holly Martins, a writer of pulp Westerns, arrives penniless as a guest of his childhood chum Harry Lime, only to learn he has died. Martins develops a conspiracy theory after learning of a ""third man"" present at the time of Harry's death, running into interference from British officer Major Calloway, and falling head-over-heels for Harry's grief-stricken lover, Anna.",['London Films Productions'],228162,101285,70932,3400,151,351,379,1635,2615,11549,19412,46693,30296,39520,152601,https://letterboxd.com/film/the-third-man/
The Big Sick,nan,Michael Showalter,"['Kumail Nanjiani', 'Zoe Kazan', 'Holly Hunter', 'Ray Romano', 'Anupam Kher', 'Zenobia Shroff', 'Adeel Akhtar', 'Bo Burnham', 'Aidy Bryant', 'Kurt Braunohler', 'Vella Lovell', 'Myra Lucretia Taylor', 'Jeremy Shamos', 'David Alan Grier', 'Ed Herbstman', 'Shenaz Treasury', 'Rebecca Naomi Jones', 'Kuhoo Verma', 'Mitra Jouhari', 'Celeste Arias', 'Shana Solomon', 'Jeff Blumenkrantz', 'Linda Emond', 'Holly Chou', 'Andrew Pang', 'Alison Cimmet', 'Lawrence Ballard', 'Shunori Ramanathan', 'Spencer House', 'Susham Bedi', 'Rahul Bedi', 'Matthew Cardarople', 'Myra Turley', 'William Stephenson', 'Marilyn Torres', 'Kerry Flanagan', ""Jack O'Connell"", 'Charles Gould', 'Isabel Shill', 'Lauren Patten', 'Keilly McQuail', 'Zach Cherry', 'Sophia Muller', 'Jack Corrigan']",3.76,nan,"['Drama', 'Comedy', 'Romance']",120,['USA'],English,"['English', 'Urdu']","Pakistan-born comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family's expectations, and his true feelings.","['FilmNation Entertainment', 'Apatow Productions', 'Story Ink']",382201,58859,93489,504,676,1410,1202,6036,8236,36987,52496,85867,26402,18997,238309,https://letterboxd.com/film/the-big-sick/
